number,date,item,price,supplier,category,type
101,2023-01-05,Marketing Strategy Consultation,1500.00,my company,sales,+
102,2023-02-10,Online Advertising Campaign,2500.00,my company,sales,+
103,2023-03-15,Social Media Management Services,1800.00,my company,sales,+
104,2023-04-20,Content Creation Package,1200.00,my company,sales,+
105,2023-05-25,Search Engine Optimization Services,3000.00,my company,sales,+
106,2023-06-30,Email Marketing Campaign,2000.00,my company,sales,+
107,2023-08-05,Print Advertising Design,1800.00,my company,sales,+
108,2023-09-10,Event Marketing Services,2500.00,my company,sales,+
109,2023-10-15,Brand Development Package,3500.00,my company,sales,+
110,2023-11-20,Market Research and Analysis,2800.00,my company,sales,+
111,2023-12-25,Video Production for Marketing,4000.00,my company,sales,+
112,2024-02-01,Influencer Marketing Campaign,3200.00,my company,sales,+
113,2024-03-08,Website Design and Development,3800.00,my company,sales,+
114,2024-04-15,Mobile App Promotion,2700.00,my company,sales,+
115,2024-05-20,Content Marketing Strategy,2200.00,my company,sales,+
116,2024-06-25,Lead Generation Services,2900.00,my company,sales,+
117,2024-08-01,Direct Mail Campaign,2000.00,my company,sales,+
118,2024-09-05,Online Reputation Management,2400.00,my company,sales,+
119,2024-10-10,Marketing Automation Implementation,3500.00,my company,sales,+
120,2024-11-15,Public Relations Services,2800.00,my company,sales,+
121,2025-01-01,Creative Advertising Concept,4000.00,my company,sales,+
122,2025-02-06,Trade Show Marketing Services,3200.00,my company,sales,+
123,2025-03-13,Branded Merchandise Production,3800.00,my company,sales,+
124,2025-04-18,Online Video Advertising,2700.00,my company,sales,+
125,2025-05-23,Marketing Analytics and Reporting,2200.00,my company,sales,+
126,2025-06-28,Social Media Influencer Partnerships,2900.00,my company,sales,+
127,2025-08-04,Content Localization Services,2000.00,my company,sales,+
128,2025-09-08,Google Ads Campaign Management,2400.00,my company,sales,+
129,2025-10-13,Email Newsletter Design and Distribution,3500.00,my company,sales,+
130,2025-11-18,Podcast Advertising,2800.00,my company,sales,+
131,2026-01-03,Outdoor Advertising Campaign,4000.00,my company,sales,+
132,2026-02-08,Marketing Consultancy Services,3200.00,my company,sales,+
133,2026-03-15,In-Store Promotions,3800.00,my company,sales,+
134,2026-04-20,Video Marketing Services,2700.00,my company,sales,+
135,2026-05-25,Graphic Design for Marketing Materials,2200.00,my company,sales,+
